transaction_id,customer_id,product_id,quantity,discount_percent,tax_rate,order_timestamp,payment_method,store_id,employee_id,order_status
TXN-100023,10465,20410,13,0.22,0.08,2024-08-16 08:51:01,Bank Transfer,117,3374,Completed
TXN-100024,10333,20199,4,0.07,0.08,2025-06-15 08:51:01,Credit Card,130,3469,Cancelled
TXN-100025,11974,20210,11,0.08,0.08,2025-12-08 08:51:01,PayPal,102,3422,Pending
TXN-100026,10362,20063,2,0.26,0.08,2024-10-31 08:51:01,Bank Transfer,113,3019,Completed
TXN-100027,11028,20557,2,0.03,0.08,2026-03-10 08:51:01,PayPal,137,3335,Completed
TXN-100028,10102,20048,14,0.09,0.08,2025-10-06 08:51:01,Credit Card,109,3271,Cancelled
TXN-100029,11708,20121,7,0.27,0.08,2026-02-15 08:51:01,Bank Transfer,104,3448,Completed
TXN-100030,11009,20298,3,0.04,0.08,2025-08-27 08:51:01,PayPal,132,3458,Pending
TXN-100031,11238,20566,5,0.27,0.08,2026-01-18 08:51:01,Credit Card,120,3101,Completed
TXN-100032,11742,20062,12,0.14,0.08,2024-05-02 08:51:01,Credit Card,131,3428,Completed
TXN-100033,10841,20556,7,0.02,0.08,2025-04-23 08:51:01,PayPal,106,3437,Completed
TXN-100034,12029,20118,4,0.26,0.08,2024-03-28 08:51:01,Credit Card,137,3349,Pending
TXN-100035,10066,20138,5,0.27,0.08,2024-05-04 08:51:01,Credit Card,110,3496,Completed
TXN-100036,11185,20094,2,0.04,0.08,2024-09-20 08:51:01,PayPal,140,3153,Pending
TXN-100037,10559,20496,15,0.21,0.08,2024-07-06 08:51:01,Credit Card,127,3243,Pending
TXN-100038,12010,20389,5,0.26,0.08,2025-09-09 08:51:01,Bank Transfer,104,3122,Completed
TXN-100039,10153,20511,5,0.18,0.08,2025-11-27 08:51:01,Bank Transfer,124,3062,Pending
TXN-100040,10693,20255,11,0.05,0.08,2025-03-29 08:51:01,PayPal,103,3038,Shipped
TXN-100041,10337,20343,4,0.1,0.08,2025-01-24 08:51:01,Bank Transfer,142,3221,Shipped
TXN-100042,11591,20068,7,0.16,0.08,2025-04-02 08:51:01,PayPal,110,3165,Shipped
TXN-100043,12686,20508,12,0.09,0.08,2026-01-03 08:51:01,Credit Card,108,3324,Pending
TXN-100044,11159,20498,12,0.24,0.08,2024-03-26 08:51:01,PayPal,137,3277,Pending
TXN-100045,12132,20538,15,0.27,0.08,2025-01-08 08:51:01,PayPal,138,3144,Shipped
TXN-100046,10239,20031,6,0.03,0.08,2024-06-15 08:51:01,Bank Transfer,146,3174,Cancelled
TXN-100047,11849,20356,11,0.28,0.08,2025-08-19 08:51:01,PayPal,123,3398,Pending
TXN-100048,10596,20188,8,0.19,0.08,2025-12-22 08:51:01,PayPal,109,3199,Cancelled
TXN-100049,10545,20370,7,0.11,0.08,2025-06-28 08:51:01,PayPal,100,3243,Completed
TXN-100050,12717,20043,2,0.09,0.08,2024-05-20 08:51:01,PayPal,107,3429,Shipped
TXN-100051,10020,20387,9,0.19,0.08,2025-01-13 08:51:01,Credit Card,116,3020,Cancelled
TXN-100052,10420,20005,1,0.29,0.08,2025-01-23 08:51:01,PayPal,134,3306,Completed
TXN-100053,12753,20278,13,0.23,0.08,2024-11-08 08:51:01,Credit Card,134,3072,Completed
TXN-100054,11932,20417,3,0.06,0.08,2025-11-27 08:51:01,Credit Card,122,3445,Shipped
TXN-100055,10573,20234,3,0.17,0.08,2025-09-16 08:51:01,Credit Card,135,3079,Pending
TXN-100056,10053,20548,5,0.14,0.08,2025-10-12 08:51:01,Bank Transfer,112,3183,Pending
TXN-100057,10130,20001,5,0.03,0.08,2024-08-30 08:51:01,PayPal,128,3309,Completed
TXN-100058,10934,20381,15,0.23,0.08,2024-03-29 08:51:01,Credit Card,115,3177,Completed
TXN-100059,11287,20198,6,0.29,0.08,2024-12-22 08:51:01,Credit Card,110,3392,Shipped
TXN-100060,10031,20447,5,0.04,0.08,2024-04-02 08:51:01,Bank Transfer,123,3489,Cancelled
TXN-100061,12279,20041,10,0.23,0.08,2024-09-30 08:51:01,Credit Card,101,3065,Completed
TXN-100062,10298,20024,15,0.09,0.08,2024-06-22 08:51:01,PayPal,145,3482,Pending
TXN-100063,10993,20308,2,0.18,0.08,2025-11-11 08:51:01,Bank Transfer,148,3464,Completed
TXN-100064,12686,20268,5,0.14,0.08,2025-01-25 08:51:01,PayPal,118,3375,Shipped
TXN-100065,12255,20037,3,0.03,0.08,2024-10-14 08:51:01,Bank Transfer,135,3474,Shipped
TXN-100066,10092,20394,4,0.23,0.08,2024-10-27 08:51:01,Bank Transfer,141,3363,Completed
TXN-100067,12759,20232,8,0.17,0.08,2025-11-22 08:51:01,Bank Transfer,109,3049,Shipped
TXN-100068,12706,20455,5,0.28,0.08,2025-07-18 08:51:01,Bank Transfer,125,3305,Completed
TXN-100069,11306,20339,9,0.1,0.08,2025-04-02 08:51:01,PayPal,123,3303,Pending
TXN-100070,12858,20021,9,0.23,0.08,2025-09-10 08:51:01,Bank Transfer,147,3000,Cancelled
TXN-100071,12468,20440,10,0.19,0.08,2024-04-13 08:51:01,PayPal,122,3457,Shipped
TXN-100072,12129,20556,7,0.0,0.08,2026-01-11 08:51:01,Bank Transfer,103,3198,Pending
TXN-100073,11721,20470,4,0.07,0.08,2025-06-14 08:51:01,PayPal,128,3457,Completed
TXN-100074,10339,20408,6,0.04,0.08,2025-01-20 08:51:01,Credit Card,114,3214,Completed
TXN-100075,11224,20565,1,0.04,0.08,2025-08-07 08:51:01,Bank Transfer,101,3262,Pending
TXN-100076,10796,20490,12,0.12,0.08,2024-06-30 08:51:01,Credit Card,140,3313,Cancelled
TXN-100077,11211,20275,5,0.14,0.08,2024-10-26 08:51:01,Credit Card,120,3410,Completed
TXN-100078,12177,20288,11,0.06,0.08,2025-10-27 08:51:01,PayPal,111,3108,Pending
TXN-100079,12098,20004,13,0.01,0.08,2025-12-29 08:51:01,PayPal,145,3064,Pending
TXN-100080,10453,20338,6,0.07,0.08,2025-02-06 08:51:01,Bank Transfer,106,3167,Pending
TXN-100081,11291,20469,5,0.25,0.08,2024-07-30 08:51:01,Credit Card,124,3089,Cancelled
TXN-100082,12306,20387,1,0.05,0.08,2025-10-03 08:51:01,PayPal,128,3031,Shipped
TXN-100083,10872,20226,11,0.04,0.08,2025-04-08 08:51:01,Bank Transfer,138,3149,Pending
TXN-100084,10742,20227,14,0.02,0.08,2024-06-03 08:51:01,Bank Transfer,108,3268,Cancelled
TXN-100085,10927,20047,5,0.01,0.08,2025-10-28 08:51:01,Bank Transfer,127,3200,Shipped
TXN-100086,12826,20092,8,0.05,0.08,2024-11-08 08:51:01,PayPal,110,3307,Shipped
TXN-100087,10536,20027,5,0.03,0.08,2024-11-30 08:51:01,Bank Transfer,149,3090,Completed
TXN-100088,11471,20246,10,0.05,0.08,2025-01-29 08:51:01,PayPal,138,3107,Cancelled
TXN-100089,10020,20405,4,0.3,0.08,2025-03-22 08:51:01,Credit Card,113,3062,Shipped
TXN-100090,12401,20160,9,0.01,0.08,2024-09-22 08:51:01,PayPal,100,3094,Shipped
TXN-100091,10184,20428,2,0.2,0.08,2026-01-30 08:51:01,Credit Card,136,3122,Shipped
TXN-100092,10866,20382,10,0.07,0.08,2024-07-10 08:51:01,PayPal,105,3309,Completed
TXN-100093,10008,20059,11,0.01,0.08,2024-03-25 08:51:01,Bank Transfer,141,3174,Cancelled
TXN-100094,10407,20385,3,0.06,0.08,2025-04-06 08:51:01,PayPal,145,3367,Pending
TXN-100095,12867,20504,2,0.15,0.08,2025-03-08 08:51:01,PayPal,138,3158,Completed
TXN-100096,12978,20460,10,0.3,0.08,2025-10-25 08:51:01,Credit Card,100,3146,Pending
TXN-100097,12977,20222,3,0.22,0.08,2025-12-26 08:51:01,PayPal,141,3321,Cancelled
TXN-100098,11906,20547,13,0.02,0.08,2025-04-15 08:51:01,PayPal,118,3225,Pending
TXN-100099,11003,20454,1,0.23,0.08,2025-11-19 08:51:01,Bank Transfer,118,3483,Pending
TXN-100100,10802,20106,15,0.02,0.08,2024-12-13 08:51:01,PayPal,127,3496,Cancelled
TXN-100101,12914,20438,6,0.02,0.08,2025-09-20 08:51:01,Bank Transfer,130,3331,Cancelled
TXN-100102,10274,20128,1,0.24,0.08,2025-10-08 08:51:01,Bank Transfer,105,3420,Pending
TXN-100103,11952,20560,1,0.12,0.08,2026-01-04 08:51:01,Bank Transfer,139,3030,Shipped
TXN-100104,10540,20251,2,0.2,0.08,2025-02-13 08:51:01,PayPal,140,3280,Cancelled
TXN-100105,10098,20395,11,0.25,0.08,2024-06-11 08:51:01,PayPal,113,3171,Shipped
TXN-100106,10554,20154,4,0.21,0.08,2025-11-14 08:51:01,Bank Transfer,122,3299,Shipped
TXN-100107,10293,20141,7,0.25,0.08,2024-10-07 08:51:01,Bank Transfer,118,3331,Pending
TXN-100108,11696,20225,15,0.15,0.08,2025-12-25 08:51:01,PayPal,109,3310,Pending
TXN-100109,10788,20022,1,0.01,0.08,2025-07-13 08:51:01,PayPal,121,3395,Shipped
TXN-100110,12333,20550,10,0.27,0.08,2025-10-19 08:51:01,Credit Card,144,3357,Completed
TXN-100111,10848,20146,5,0.13,0.08,2024-07-15 08:51:01,Bank Transfer,140,3257,Cancelled
TXN-100112,11556,20213,3,0.29,0.08,2024-09-18 08:51:01,Bank Transfer,116,3052,Cancelled
TXN-100113,12699,20567,4,0.24,0.08,2024-10-28 08:51:01,PayPal,121,3291,Completed
TXN-100114,11396,20215,15,0.16,0.08,2026-02-06 08:51:01,Credit Card,106,3398,Pending
TXN-100115,12733,20031,14,0.12,0.08,2025-03-24 08:51:01,Credit Card,144,3219,Cancelled
TXN-100116,11199,20188,7,0.13,0.08,2025-08-07 08:51:01,PayPal,104,3412,Shipped
TXN-100117,11998,20187,5,0.09,0.08,2025-04-01 08:51:01,Credit Card,115,3250,Pending
TXN-100118,12755,20401,6,0.28,0.08,2025-02-18 08:51:01,Bank Transfer,130,3210,Pending
TXN-100119,12166,20451,9,0.09,0.08,2025-01-08 08:51:01,Credit Card,110,3142,Pending
TXN-100120,12900,20376,14,0.04,0.08,2025-05-10 08:51:01,PayPal,140,3070,Pending
TXN-100121,10023,20423,10,0.04,0.08,2024-08-16 08:51:01,PayPal,120,3196,Pending
TXN-100122,10449,20146,14,0.2,0.08,2025-01-13 08:51:01,Credit Card,148,3229,Cancelled
TXN-100123,12912,20504,3,0.18,0.08,2025-07-27 08:51:01,Bank Transfer,120,3359,Completed
TXN-100124,12514,20451,10,0.23,0.08,2025-06-30 08:51:01,Bank Transfer,117,3443,Shipped
TXN-100125,10298,20134,10,0.03,0.08,2024-12-28 08:51:01,Bank Transfer,123,3461,Completed
TXN-100126,10762,20150,13,0.06,0.08,2024-10-31 08:51:01,PayPal,135,3438,Completed
TXN-100127,11175,20353,8,0.22,0.08,2024-12-01 08:51:01,Credit Card,123,3059,Pending
TXN-100128,12859,20053,8,0.01,0.08,2025-07-28 08:51:01,Bank Transfer,139,3271,Shipped
TXN-100129,10383,20299,8,0.17,0.08,2025-10-24 08:51:01,Credit Card,112,3227,Shipped
TXN-100130,12840,20057,15,0.17,0.08,2024-03-30 08:51:01,PayPal,120,3032,Cancelled
TXN-100131,11999,20409,13,0.22,0.08,2026-03-08 08:51:01,PayPal,112,3208,Shipped
TXN-100132,12748,20143,14,0.26,0.08,2024-10-04 08:51:01,PayPal,112,3002,Completed
TXN-100133,10275,20141,15,0.24,0.08,2025-10-16 08:51:01,Credit Card,103,3456,Pending
TXN-100134,12061,20274,3,0.12,0.08,2025-07-04 08:51:01,Bank Transfer,113,3104,Shipped
TXN-100135,11732,20462,11,0.17,0.08,2026-02-25 08:51:01,Bank Transfer,110,3480,Cancelled
TXN-100136,12042,20087,12,0.06,0.08,2026-03-12 08:51:01,PayPal,140,3346,Pending
TXN-100137,12484,20292,15,0.13,0.08,2024-07-15 08:51:01,Credit Card,101,3287,Pending
TXN-100138,11717,20286,10,0.21,0.08,2026-01-26 08:51:01,Credit Card,112,3074,Pending
TXN-100139,12546,20378,13,0.26,0.08,2024-08-20 08:51:01,Credit Card,123,3025,Completed
TXN-100140,10317,20110,15,0.1,0.08,2025-02-13 08:51:01,Credit Card,130,3176,Completed
TXN-100141,12215,20049,4,0.29,0.08,2024-10-15 08:51:01,Bank Transfer,140,3387,Completed
TXN-100142,11170,20261,11,0.02,0.08,2025-06-05 08:51:01,Credit Card,117,3123,Completed
TXN-100143,11427,20415,7,0.27,0.08,2025-04-06 08:51:01,Credit Card,143,3109,Pending
TXN-100144,10782,20534,11,0.2,0.08,2025-06-12 08:51:01,Bank Transfer,141,3111,Cancelled
TXN-100145,11270,20469,6,0.11,0.08,2026-01-28 08:51:01,Credit Card,102,3319,Completed
TXN-100146,10422,20412,9,0.28,0.08,2025-02-23 08:51:01,PayPal,128,3056,Cancelled
TXN-100147,11846,20562,5,0.01,0.08,2024-07-06 08:51:01,Credit Card,109,3454,Cancelled
TXN-100148,12691,20105,7,0.27,0.08,2024-09-27 08:51:01,Bank Transfer,135,3330,Shipped
TXN-100149,11981,20105,7,0.03,0.08,2025-03-11 08:51:01,Bank Transfer,124,3217,Cancelled
TXN-100150,10462,20087,10,0.17,0.08,2025-02-19 08:51:01,PayPal,122,3296,Shipped
TXN-100151,12719,20203,3,0.12,0.08,2024-11-18 08:51:01,Credit Card,146,3164,Completed
TXN-100152,11363,20549,4,0.11,0.08,2025-07-02 08:51:01,PayPal,141,3276,Completed
TXN-100153,12408,20356,7,0.1,0.08,2024-03-28 08:51:01,Credit Card,134,3189,Shipped
TXN-100154,11493,20245,4,0.17,0.08,2024-07-21 08:51:01,Bank Transfer,110,3144,Shipped
TXN-100155,11588,20409,11,0.04,0.08,2024-11-26 08:51:01,Bank Transfer,130,3171,Completed
TXN-100156,10272,20338,9,0.24,0.08,2025-01-09 08:51:01,PayPal,135,3248,Shipped
TXN-100157,10017,20207,1,0.05,0.08,2024-10-09 08:51:01,PayPal,113,3080,Cancelled
TXN-100158,10732,20490,13,0.12,0.08,2024-07-22 08:51:01,Bank Transfer,141,3113,Pending
TXN-100159,11297,20071,11,0.11,0.08,2024-03-23 08:51:01,Credit Card,110,3163,Shipped
TXN-100160,12121,20379,5,0.13,0.08,2025-07-19 08:51:01,Credit Card,134,3239,Shipped
TXN-100161,10031,20548,15,0.17,0.08,2024-11-22 08:51:01,Credit Card,146,3431,Completed
TXN-100162,12616,20467,13,0.25,0.08,2024-08-29 08:51:01,Bank Transfer,110,3486,Cancelled
TXN-100163,11946,20480,8,0.28,0.08,2025-11-22 08:51:01,Credit Card,148,3256,Pending
TXN-100164,10574,20326,3,0.21,0.08,2024-11-13 08:51:01,Bank Transfer,132,3471,Cancelled
TXN-100165,10812,20001,13,0.18,0.08,2026-03-12 08:51:01,PayPal,105,3074,Completed
TXN-100166,10196,20144,12,0.26,0.08,2025-10-27 08:51:01,Credit Card,118,3345,Pending
TXN-100167,12002,20221,15,0.2,0.08,2026-01-26 08:51:01,PayPal,147,3337,Cancelled
TXN-100168,12833,20457,8,0.03,0.08,2024-06-25 08:51:01,Bank Transfer,127,3478,Completed
TXN-100169,12776,20593,10,0.19,0.08,2025-11-30 08:51:01,PayPal,123,3363,Cancelled
TXN-100170,11433,20408,7,0.23,0.08,2025-01-28 08:51:01,PayPal,102,3310,Cancelled
TXN-100171,12146,20240,4,0.09,0.08,2025-06-21 08:51:01,Credit Card,101,3314,Pending
TXN-100172,10623,20165,15,0.25,0.08,2025-06-05 08:51:01,Credit Card,143,3194,Pending
TXN-100173,10803,20469,10,0.06,0.08,2024-04-08 08:51:01,Credit Card,108,3428,Completed
TXN-100174,12373,20077,13,0.08,0.08,2024-06-20 08:51:01,Bank Transfer,100,3234,Completed
TXN-100175,11482,20291,8,0.2,0.08,2025-01-13 08:51:01,Credit Card,148,3058,Pending
TXN-100176,12018,20117,2,0.27,0.08,2025-04-18 08:51:01,Credit Card,147,3359,Completed
TXN-100177,10179,20070,7,0.21,0.08,2025-10-16 08:51:01,PayPal,100,3015,Completed
TXN-100178,10551,20410,6,0.17,0.08,2025-08-19 08:51:01,Bank Transfer,116,3432,Cancelled
TXN-100179,11377,20466,14,0.17,0.08,2025-08-24 08:51:01,Credit Card,120,3147,Shipped
TXN-100180,11467,20503,15,0.03,0.08,2025-09-10 08:51:01,Credit Card,118,3292,Cancelled
TXN-100181,11933,20583,2,0.25,0.08,2025-02-20 08:51:01,Credit Card,145,3258,Cancelled
TXN-100182,12595,20396,14,0.09,0.08,2025-07-18 08:51:01,Credit Card,101,3448,Shipped
TXN-100183,10375,20506,12,0.04,0.08,2024-05-16 08:51:01,PayPal,127,3186,Shipped
TXN-100184,12123,20145,5,0.12,0.08,2025-04-13 08:51:01,PayPal,137,3461,Shipped
TXN-100185,12951,20510,11,0.04,0.08,2026-03-18 08:51:01,Credit Card,102,3352,Shipped
TXN-100186,10085,20559,7,0.2,0.08,2025-12-22 08:51:01,PayPal,142,3382,Cancelled
TXN-100187,10071,20327,2,0.18,0.08,2024-08-25 08:51:01,PayPal,117,3106,Shipped
TXN-100188,12029,20117,7,0.29,0.08,2025-08-25 08:51:01,Bank Transfer,103,3450,Shipped
TXN-100189,10960,20327,15,0.13,0.08,2024-05-18 08:51:01,Credit Card,124,3306,Shipped
TXN-100190,10052,20091,15,0.02,0.08,2026-02-10 08:51:01,Bank Transfer,103,3269,Shipped
TXN-100191,10270,20566,8,0.16,0.08,2026-03-17 08:51:01,PayPal,134,3495,Completed
TXN-100192,10710,20539,11,0.29,0.08,2025-07-27 08:51:01,PayPal,144,3487,Pending
TXN-100193,10264,20343,9,0.26,0.08,2024-07-14 08:51:01,Credit Card,139,3349,Completed
TXN-100194,12546,20235,1,0.28,0.08,2024-03-27 08:51:01,Credit Card,140,3227,Cancelled
TXN-100195,11739,20090,4,0.23,0.08,2025-02-10 08:51:01,Credit Card,134,3469,Completed
TXN-100196,12096,20084,3,0.3,0.08,2024-04-29 08:51:01,Bank Transfer,127,3266,Completed
TXN-100197,11428,20585,5,0.23,0.08,2024-04-05 08:51:01,PayPal,149,3234,Completed
TXN-100198,11423,20225,2,0.3,0.08,2025-12-20 08:51:01,Credit Card,122,3348,Shipped
TXN-100199,12762,20250,1,0.26,0.08,2025-01-01 08:51:01,PayPal,112,3309,Cancelled
TXN-100200,12534,20515,5,0.29,0.08,2025-12-14 08:51:01,Bank Transfer,137,3063,Pending
TXN-100201,10573,20432,10,0.07,0.08,2025-01-27 08:51:01,Bank Transfer,122,3331,Completed
TXN-100202,12983,20106,7,0.24,0.08,2025-01-07 08:51:01,PayPal,144,3443,Completed
TXN-100203,12085,20507,8,0.12,0.08,2025-11-12 08:51:01,Bank Transfer,133,3277,Shipped
TXN-100204,11675,20241,7,0.16,0.08,2024-05-09 08:51:01,Bank Transfer,122,3012,Completed
TXN-100205,12984,20406,15,0.23,0.08,2024-06-03 08:51:01,Credit Card,129,3473,Cancelled
TXN-100206,10704,20162,3,0.13,0.08,2024-12-30 08:51:01,PayPal,132,3425,Completed
TXN-100207,12334,20199,8,0.19,0.08,2025-12-23 08:51:01,PayPal,120,3086,Shipped
TXN-100208,12254,20550,10,0.0,0.08,2025-05-26 08:51:01,Bank Transfer,137,3123,Pending
TXN-100209,12316,20548,2,0.04,0.08,2025-04-05 08:51:01,Bank Transfer,130,3245,Cancelled
TXN-100210,10623,20444,6,0.29,0.08,2024-10-29 08:51:01,PayPal,118,3012,Shipped
TXN-100211,12281,20378,12,0.16,0.08,2025-04-30 08:51:01,Credit Card,104,3470,Pending
TXN-100212,10511,20451,2,0.27,0.08,2025-02-17 08:51:01,PayPal,130,3282,Shipped
TXN-100213,12341,20071,14,0.04,0.08,2025-03-25 08:51:01,PayPal,122,3410,Completed
TXN-100214,12188,20545,8,0.02,0.08,2025-11-24 08:51:01,PayPal,133,3219,Completed
TXN-100215,10229,20369,13,0.01,0.08,2024-07-11 08:51:01,Credit Card,116,3138,Shipped
TXN-100216,12141,20457,9,0.25,0.08,2024-11-02 08:51:01,PayPal,140,3237,Completed
TXN-100217,12565,20238,11,0.0,0.08,2025-10-27 08:51:01,Bank Transfer,112,3009,Completed
TXN-100218,10416,20153,6,0.19,0.08,2026-01-14 08:51:01,Bank Transfer,132,3200,Completed
TXN-100219,12020,20281,3,0.17,0.08,2026-02-25 08:51:01,PayPal,142,3329,Pending
TXN-100220,10611,20185,3,0.07,0.08,2025-09-08 08:51:01,PayPal,138,3107,Completed
TXN-100221,12596,20574,1,0.12,0.08,2026-02-06 08:51:01,Credit Card,131,3327,Shipped
TXN-100222,10081,20139,13,0.08,0.08,2025-09-25 08:51:01,PayPal,141,3363,Cancelled
TXN-100223,10568,20265,12,0.24,0.08,2024-12-13 08:51:01,PayPal,115,3240,Pending
TXN-100224,10101,20334,8,0.27,0.08,2024-04-13 08:51:01,Credit Card,141,3390,Pending
TXN-100225,11249,20400,11,0.29,0.08,2025-03-09 08:51:01,PayPal,143,3397,Cancelled
TXN-100226,11047,20050,12,0.11,0.08,2024-11-01 08:51:01,Credit Card,123,3330,Pending
TXN-100227,11036,20381,4,0.08,0.08,2026-01-12 08:51:01,PayPal,124,3335,Cancelled
TXN-100228,12248,20549,11,0.25,0.08,2025-03-23 08:51:01,Bank Transfer,112,3341,Pending
TXN-100229,12075,20203,13,0.09,0.08,2025-07-29 08:51:01,Bank Transfer,122,3335,Cancelled
TXN-100230,12580,20163,14,0.12,0.08,2024-10-30 08:51:01,Credit Card,127,3200,Pending
TXN-100231,12120,20320,4,0.05,0.08,2024-05-11 08:51:01,PayPal,130,3186,Cancelled
TXN-100232,10018,20520,15,0.18,0.08,2025-07-14 08:51:01,Credit Card,149,3452,Cancelled
TXN-100233,12498,20574,4,0.2,0.08,2024-05-25 08:51:01,PayPal,119,3124,Cancelled
TXN-100234,12445,20345,14,0.16,0.08,2025-03-21 08:51:01,Credit Card,148,3370,Pending
TXN-100235,11307,20061,6,0.3,0.08,2026-02-16 08:51:01,Bank Transfer,111,3272,Pending
TXN-100236,11642,20474,3,0.22,0.08,2026-03-12 08:51:01,Credit Card,129,3100,Pending
TXN-100237,10705,20200,10,0.01,0.08,2024-11-27 08:51:01,PayPal,114,3468,Cancelled
TXN-100238,10581,20322,5,0.19,0.08,2025-04-01 08:51:01,Bank Transfer,140,3496,Completed
TXN-100239,10989,20575,15,0.01,0.08,2025-01-13 08:51:01,Credit Card,121,3286,Pending
TXN-100240,10450,20362,1,0.2,0.08,2024-04-14 08:51:01,Bank Transfer,140,3002,Pending
TXN-100241,11406,20023,11,0.06,0.08,2024-08-22 08:51:01,Credit Card,119,3107,Pending
TXN-100242,10929,20066,3,0.27,0.08,2024-07-18 08:51:01,PayPal,149,3350,Shipped
TXN-100243,10916,20503,10,0.26,0.08,2025-04-16 08:51:01,Credit Card,105,3408,Completed
TXN-100244,10457,20145,4,0.2,0.08,2024-08-08 08:51:01,Credit Card,117,3444,Shipped
TXN-100245,11642,20366,3,0.27,0.08,2025-06-23 08:51:01,Credit Card,135,3222,Cancelled
TXN-100246,10750,20352,2,0.21,0.08,2024-09-30 08:51:01,PayPal,131,3114,Shipped
TXN-100247,12269,20358,6,0.09,0.08,2025-12-28 08:51:01,PayPal,140,3387,Cancelled
TXN-100248,10167,20082,10,0.07,0.08,2025-12-14 08:51:01,Credit Card,130,3340,Pending
TXN-100249,11409,20366,6,0.23,0.08,2025-08-07 08:51:01,Bank Transfer,129,3357,Completed
TXN-100250,11711,20138,8,0.06,0.08,2025-11-30 08:51:01,PayPal,129,3102,Shipped
TXN-100251,11811,20256,7,0.03,0.08,2025-10-28 08:51:01,Credit Card,142,3162,Cancelled
TXN-100252,11534,20433,12,0.22,0.08,2025-10-01 08:51:01,PayPal,116,3452,Completed
TXN-100253,10711,20434,1,0.15,0.08,2024-09-28 08:51:01,Credit Card,132,3499,Cancelled
TXN-100254,11606,20163,1,0.18,0.08,2026-01-19 08:51:01,PayPal,136,3119,Completed
TXN-100255,12471,20441,4,0.01,0.08,2025-07-23 08:51:01,Bank Transfer,138,3172,Completed
TXN-100256,11785,20505,1,0.09,0.08,2026-02-15 08:51:01,Bank Transfer,121,3369,Shipped
TXN-100257,10512,20428,8,0.07,0.08,2025-12-08 08:51:01,Credit Card,148,3110,Pending
TXN-100258,10938,20543,15,0.17,0.08,2026-02-09 08:51:01,PayPal,132,3176,Completed
TXN-100259,12693,20298,11,0.05,0.08,2025-10-23 08:51:01,PayPal,138,3417,Shipped
TXN-100260,11641,20304,6,0.01,0.08,2024-04-24 08:51:01,Credit Card,135,3089,Shipped
TXN-100261,10438,20252,5,0.04,0.08,2025-03-15 08:51:01,PayPal,128,3193,Cancelled
TXN-100262,10756,20065,2,0.22,0.08,2025-05-25 08:51:01,Bank Transfer,101,3383,Pending
TXN-100263,12575,20264,4,0.27,0.08,2024-10-03 08:51:01,Bank Transfer,112,3331,Pending
TXN-100264,11018,20446,15,0.18,0.08,2025-08-02 08:51:01,Credit Card,102,3351,Shipped
TXN-100265,12721,20599,8,0.15,0.08,2024-04-25 08:51:01,Bank Transfer,106,3164,Completed
TXN-100266,11671,20150,11,0.18,0.08,2024-04-30 08:51:01,PayPal,138,3064,Cancelled
